"","x"
"1",2.7188147515844
"2",2.7188147515844
"3",4.96701080490391
"4",6.00028395504138
"5",3.3202307284265
"6",5.65543405086826
"7",4.4072968858595
"8",1.36152948665682
"9",3.32452102535017
"10",1.78218165681895
