"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",9.24729819170803e-05,3.5843432861797e-06,3.48407174461876e-08,0.00018621674248532,5.16939626977753e-08,1.97094275712357e-07,4.27865559924307e-09,1.88421348522959e-08,5.56107262682432e-07,5.29042900974204e-05,1.63815196925975e-05,1.28319552523314e-07,6.93925391971441e-05,0.306785036550289,4.43679090863461e-06
"2",0.0921721369980155,1.74996696274896e-07,7.06258822518257e-09,0.00032494777748809,0.140663679583712,2.23743594521231e-07,3.82667326056465e-09,1.0898055881903e-07,1.61107361924622e-06,4.17453146794237e-07,7.90721389686035e-08,3.3018644447129e-08,6.76224741793735e-05,0.226826776579953,2.52596796112958e-05
"3",1.53776496818073e-05,1.92440836037842e-08,2.93657282123929e-08,0.00957652984418867,1.32583820611028e-08,0.381205553449985,6.72886277067818e-09,0.133778746587914,1.04129862281015e-07,3.74526409543518e-06,5.55057158532773e-07,7.72265612967605e-10,0.0408295252352616,2.52011351602659e-05,8.12547602018865e-06
"4",3.37559367152331e-06,0.307895885818404,2.87186842078355e-09,0.00544491045485342,5.91952250620623e-08,1.86540759444386e-07,2.65185493017859e-09,2.52096537097513e-09,0.720412917511662,0.525767777156839,0.57869825078731,3.33130956291015e-11,0.0789433708187761,0.0837145996808848,0.26815768534441
"5",6.117277336312e-05,4.22207514882822e-05,6.8008675208162e-08,0.0475471734451016,1.43490793039268e-07,0.297780370031899,1.30634127690693e-08,0.857857754845434,3.96774767240111e-07,0.222134335842488,7.5835015944046e-08,4.85924883991191e-08,7.64688230658273e-05,0.00444693281456912,0.000364618697478686
"6",0.0140086372879447,0.00217016546462276,1.25161192549446e-10,0.000324014713727969,0.0149031871966528,0.11326696997114,0.999999942537843,9.06402194699507e-12,1.26541460543036e-06,1.75362144511167e-08,5.63099436591652e-08,3.05284195072862e-08,0.000724791399828583,3.1075478381941e-05,0.135639859324844
"7",0.00420446460422955,0.037108932394314,0.38955557129952,0.000104083104781106,0.808658887823037,0.207745012247927,5.93160885276705e-10,0.00836300861953286,1.79710419108306e-08,0.0523059912386967,1.54870833226099e-07,1.28460300266777e-08,0.000168306149387623,0.0265257855372248,6.37759005654498e-06
"8",0.000152455599651571,0.024420198766548,1.03979543568405e-08,1.16015997085278e-05,8.68811823738123e-08,2.68200894935769e-07,2.1937293595716e-09,1.02635523206035e-07,0.0109249209277931,0.199676366762848,3.9319661108199e-08,2.99354133984824e-08,1.56779483398894e-05,0.0335892653621221,1.114839158142e-05
"9",0.0772223733202568,0.000492587716877668,6.42560202067689e-09,0.00276691969091331,0.0357735723084884,2.6095059273948e-07,9.30216454337574e-09,2.96864022327828e-09,4.05871166731398e-07,5.47330132705964e-06,7.3423017382188e-09,4.5700679950032e-08,0.00133924020165993,8.39105547380367e-05,1.41748415143556e-05
"10",0.323408699731786,0.318457225051297,3.42039601711468e-08,0.735536689437302,5.21691556579787e-08,1.88177518231592e-07,2.24091334038636e-09,2.25955701404857e-09,0.268643401995098,3.57286096107075e-07,2.31241105905076e-06,7.49843893734273e-08,8.02570203048034e-05,5.60866856019351e-05,0.126906144435282
"11",0.000276302940331763,3.80530736789254e-07,3.77818987998109e-09,0.0412476615708276,3.98644396027619e-08,1.56637609098566e-07,1.77063086715433e-09,1.41280055295792e-07,8.35614697600895e-06,8.83076662338308e-06,0.421281831806629,0.999999524967272,0.25547861895282,3.55774894274133e-06,8.35936533729806e-06
"12",1.60695126386858e-05,2.69562029917174e-07,0.610444214167181,0.123617457724061,5.83546161775871e-08,2.08106982868496e-07,3.11647550864896e-09,4.15823186500751e-09,3.31981057149968e-07,3.24666842766472e-06,8.90239427245581e-09,5.75881021534488e-09,0.252278582669344,0.0559763626333591,0.46883855963824
"13",0.488299504694116,0.237270760231536,1.73921301050889e-09,0.00030995393624181,7.23667261267425e-08,1.92316963275655e-07,4.82481940400917e-09,9.99436458984956e-08,3.22420010409347e-07,1.16542577608433e-05,8.99787967007323e-08,2.03566091007252e-08,0.369508883046952,0.261933588802475,1.01302859167843e-05
"14",6.6956347986028e-05,0.0721375951297777,1.56942026467957e-08,0.0330018399778474,9.58136286441727e-08,2.1253046609556e-07,2.87064442425787e-09,6.34873670620442e-09,5.391675078497e-06,2.88821754380253e-05,1.56787064845362e-07,4.418635850781e-08,0.000419262720941036,1.82046667502285e-06,5.12022888664266e-06
