,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,0.000224625,0.000529078,0.058013937,0.000634696,0.017032699,0.009219527,10.624202,0.012313725,0.00387105,0.001149575,0.00104443,0.012385177,0.000464064,0.000232608,0.003323803
,0.01,0.02,0.24,0.03,0.13,0.10,3.26,0.11,0.06,0.03,0.03,0.11,0.02,0.02,0.06
