"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",3.21501499964542e-05,0.0002452023232562,0.00275886902837706,7.54641265892308e-05,0.00783562649219958,0.000263586294222129,2.46400287762992e-05,0.00713153461803445,0.000174910884434681,2.68175818208062e-06,0.000630688606884199,0.000980185400661275,1.41713725808011e-05,4.97377288017502e-05,3.72130680986935e-05
"3",3.57682869504346e-05,6.59681153256087e-05,0.000484444170604941,0.000295189759679503,0.00582495073325822,0.0116836503775249,0.00369034524409524,0.00309295412136289,0.000901875529969773,1.39642458221851e-05,0.00155753929946486,0.00172339247808184,0.000121775790794794,1.48461099026707e-05,0.00044793753476737
"4",4.5738348832616e-05,2.84868384502641e-05,0.0261018199204199,0.000238657334651539,0.00442571583690758,0.0186688149141729,0.00204457047028825,0.000613862685554515,0.00511609877833397,0.00050620376976062,0.00141764096835971,0.00110891330682088,0.00149172303276055,5.66907697857463e-06,2.85374900354441e-05
"5",4.3728453917474e-05,8.26520289959207e-05,0.0266527721440902,0.000650168066776282,0.00491055456003477,0.0276179013263599,0.00786909784851964,0.000249102857779955,0.0198784879406671,6.50490984887429e-05,8.20555014632621e-06,0.000227112863319578,1.90143579819535e-08,0.000284755551594691,0.000150296104208661
"6",0.000405701084613304,0.000310867784748542,0.0989248864207011,0.00337389635167186,0.000140590574375457,0.0532672943447645,0.0257030561705288,0.00457101575319848,0.0150206190891561,0.00139716925915818,0.00478290959240711,0.00902431371634893,1.99867552628008e-05,0.000815098256561504,0.00169534925359035
"7",0.000258662647130522,0.00102533192700548,0.105357273184233,8.09073929474621e-05,0.00108030006917779,0.0268153544431108,0.134033548902873,0.00231238726962546,0.00701408371285646,0.00138369627245634,0.00251094261094344,0.0147943567582707,6.52368070403414e-05,0.00023524329404761,0.00536176867984301
"8",0.000109226726556725,0.000735797055429959,0.0726725041017711,0.000322650328283703,0.0118240345530628,0.00496986992921668,0.329414704575571,0.000672401950072614,0.000574520578316064,0.00101817300504019,7.75943638824308e-05,0.00613441599914292,6.82908013258212e-05,6.53555814451414e-05,0.00601896621834023
"9",0.000303703329349374,0.000436316894832888,0.0697323369909353,0.000278135867348708,0.00822906989619355,0.00170154654046283,0.507219580504257,1.20410423616767e-05,5.23723206177967e-06,0.000228966124425198,0.000136667191884747,0.00880042135192709,0.000389748644374046,0.000620966551399628,0.00716469991155275
"10",0.000936025594773106,0.000285108229020923,0.0663515995336973,0.000282950931212719,0.00167801130245219,0.000671422588902093,0.657697606916446,0.00438136614925836,0.000339902967140402,9.36936514421219e-06,0.000321702997030341,0.0124658024679364,0.000583994045591886,0.000236583044905621,0.00420805659043068
"11",3.78118507371974e-05,2.28102108608315e-05,0.0417261823887055,4.31035695623913e-05,0.000291267618963304,0.00146668995938778,0.550346241495455,0.012934061628471,3.04572545484853e-05,0.000400267015328103,0.000429592738407872,0.00674784005385143,0.000452153914522097,7.13513003121512e-05,0.0023353550557451
"12",5.0503719094921e-05,0.000237757525285271,0.0336383561725613,0.000562195023460865,0.00244471363834399,0.00328359478676735,0.682001089315318,0.0401346947486419,0.00297278566935294,0.000102275564002438,0.000546824421092653,0.00483603695824333,0.00274072403127342,5.8196477383564e-05,0.000262660053864821
"13",6.04219719200006e-06,0.00198617670338139,0.143129549192809,6.86726049844528e-05,5.59836101690943e-05,0.00027252014036949,1.0055217792625,0.0299933950397209,0.000897091711887096,0.00226885593724287,0.000350977305352,0.00996578114594137,0.000212592591211497,0.000727450440749226,0.000117339894162847
"14",0.000223907549559638,0.000251704712926857,0.16757870616561,0.000189445180804254,0.000522486220544853,0.00612925118440902,1.7236274408047,0.01514137005356,0.00213889985419071,4.46624896050403e-05,0.000399616087533926,0.0134663699092463,3.10806903241032e-05,0.000243656953545253,0.000150043952620271
