"","x"
"1",2.91476806142857
"2",2.91476806142857
"3",5.23872416598308
"4",5.91217320453036
"5",2.72506862771432
"6",4.4077199832289
"7",2.84706142946107
"8",9.40318266241088
"9",4.40678922910177
"10",3.24288088793445
"11",1.3831797827749
"12",3.9255475835353
"13",2.90788615856578
