"","x"
"1",2.8596478802992
"2",2.8596478802992
"3",5.29338157865604
"4",4.61197616325799
"5",2.66175813903425
"6",3.65789646072338
"7",3.83476834413041
"8",7.64393959847576
"9",4.40380456440129
"10",3.24287434839804
"11",1.44434532706638
"12",4.46489876824086
"13",6.21169586321314
