"","x"
"1",2.7220589663679
"2",2.7220589663679
"3",3.20971225525625
"4",5.94493403672925
"5",2.35664467448398
"6",4.34865385267561
"7",2.92559137221356
"8",9.19861571951398
"9",4.40565003241035
"10",3.2428834053539
"11",2.59481038629959
"12",5.19378222564829
"13",3.69460115538018
