"","x"
"1",3.09216585782379
"2",3.09216585782379
"3",4.82901977569398
"4",4.65735649982776
"5",1.24877432450645
"6",3.12764813526408
"7",7.64312778869623
"8",4.39252606483495
"9",1.58463262271501
"10",3.86624200261334
"11",1.1006912408607
