"","x"
"1",2.88300656637832
"2",2.88300656637832
"3",5.39452493109035
"4",4.42926316855409
"5",1.24557285395247
"6",3.65934397518768
"7",3.32106868315754
"8",7.64426427181405
"9",4.35514583050363
"10",3.24288215835254
"11",1.59987757648481
"12",5.40970176443642
"13",6.28978480808112
